study_hours,attendance,previous_score,assignments_completed,sleep_hours,extracurricular_hours,final_score
2,60,50,55,6,8,52
3,65,55,60,6.5,7,58
4,70,60,65,7,6,64
5,75,65,70,7,5,69
6,80,70,80,7.5,4,76
7,85,75,85,8,3,83
8,90,80,90,8,2,89
4,82,72,78,7,5,74
5,88,78,86,7.5,4,82
3,78,68,75,6.5,6,70
6,92,85,92,8,2,91
7,95,88,95,8.5,2,95
2,55,45,50,5.5,10,47
4,68,58,62,6,8,61
5,73,63,72,7,6,68
6,77,69,78,7.5,5,75
8,93,84,94,8,2,92
9,96,90,97,8.5,1,98
3,72,62,68,7,7,64
7,87,79,88,7.5,3,86
4,80,70,82,8,4,75
5,85,74,84,7,5,79
6,89,81,90,8,3,87
2.5,64,52,58,6,9,55
8.5,94,87,96,8.5,2,95
3.5,76,66,73,7,6,68
5.5,83,77,81,7.5,4,81
7.5,91,86,93,8,2,93
4.5,79,71,76,6.5,6,72
6.5,86,80,89,7.5,3,85
